科目编码,科目名称,助记码,科目类别：.名称,余额方向,现金科目,银行科目,现金等价物,数量核算,计量单位.名称,外币核算,币别,期末调汇,辅助核算,辅助核算项目,是否必录,借方现金流量项目：.名称,贷方现金流量项目：.名称,启用状态,不允许手工录入凭证,洗件判定
1604002,安装工程,azgc,非流动资产,借,否,否,否,否,,否,,否,否,,,购建固定资产、无形资产和其他非流动资产支付的现金,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
1604003,技术改造工程,jsgzgc,非流动资产,借,否,否,否,否,,否,,否,是,客户,非必录,购建固定资产、无形资产和其他非流动资产支付的现金,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
1604004,其他支出,qtzc,非流动资产,借,否,否,否,否,,否,,否,否,,,购建固定资产、无形资产和其他非流动资产支付的现金,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
1605,工程物资,gcwz,非流动资产,借,否,否,否,否,,否,,否,否,,,购建固定资产、无形资产和其他非流动资产支付的现金,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
1606,固定资产清理,gdzcql,非流动资产,借,否,否,否,否,,否,,否,否,,,处置固定资产、无形资产和其他非流动资产收回的现金净额,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
1609,测试固定资产科目,csgdzckm,非流动资产,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
1621,生产性生物资产,scxswzc,非流动资产,借,否,否,否,否,,否,,否,否,,,购建固定资产、无形资产和其他非流动资产支付的现金,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
1622,生产性生物资产累计折旧,scxswzcljzj,非流动资产,贷,否,否,否,否,,否,,否,否,,,处置固定资产、无形资产和其他非流动资产收回的现金净额,购建固定资产、无形资产和其他非流动资产支付的现金,启用,否,保留
1701,无形资产,wxzc,非流动资产,借,否,否,否,否,,否,,否,否,,,购建固定资产、无形资产和其他非流动资产支付的现金,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
1702,累计摊销,ljtx,非流动资产,贷,否,否,否,否,,否,,否,是,客户,非必录,处置固定资产、无形资产和其他非流动资产收回的现金净额,购建固定资产、无形资产和其他非流动资产支付的现金,启用,否,保留
1801,长期待摊费用,cqdtfy,非流动资产,借,否,否,否,否,,否,,否,否,,,购建固定资产、无形资产和其他非流动资产支付的现金,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
1901,待处理财产损溢,dclccsy,非流动资产,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
1902,原材料1,ycl1,流动资产,借,否,否,否,是,,否,,否,是,客户/商品,必录/非必录,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
1903,1111,1111,流动资产,借,否,否,否,否,,否,,否,是,签约主体,必录,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
1904,测试科目,cskm,流动资产,贷,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
1905,测试,cs,流动资产,借,否,否,否,是,个,是,所有币别,否,否,,,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,是,剔除：沙箱测试行（名称非会计科目）
1906,发出商品测试,fcspcs,流动资产,借,否,否,否,否,,否,,否,是,项目号,非必录,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
1907,测试核算,cshs,流动资产,借,否,否,否,是,,否,,否,是,商品,必录,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
2001,短期借款,dqjk,流动负债,贷,否,否,否,否,,否,,否,否,,,偿还借款本金支付的现金,取得借款收到的现金,启用,否,保留
2026,测试科目,cskm,流动资产,借,否,否,否,是,,是,所有币别,是,是,商品,非必录,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
2201,应付票据,yfpj,流动负债,贷,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
2202,应付账款,yfzk,流动负债,贷,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
2202003,发票应付,fpyf,流动负债,贷,否,否,否,否,,否,,否,是,供应商,必录,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
2202004,暂估应付,zgyf,流动负债,贷,否,否,否,否,,否,,否,是,供应商/部门/客户/职员/收入类别/支出类别,必录/非必录/非必录/非必录/非必录/必录,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
2202005,应付,yf,流动负债,贷,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
2202006,项目应付账款,xmyfzk,流动负债,贷,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
2202006001,测试333,cs333,流动负债,贷,否,否,否,是,个,是,所有币别,否,是,客户/生产项目/供应商,非必录/非必录/非必录,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
2202007,A有限公司,Ayxgs,流动负债,贷,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
2203,预收账款,yszk,流动负债,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
2203001,深圳南方有限公司,sznfyxgs,流动负债,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
2211,应付职工薪酬,yfzgxc,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的职工薪酬,支付的职工薪酬,启用,否,保留
2211001,张亚司机,zysj,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的职工薪酬,支付的职工薪酬,启用,否,保留
2211002,挂账,gz,流动负债,借,否,否,否,否,,否,,否,否,,,支付的职工薪酬,支付的职工薪酬,启用,否,保留
2211003,挂账,gz,流动负债,借,否,否,否,否,,否,,否,否,,,支付的职工薪酬,支付的职工薪酬,启用,否,保留
2221,应交税费,yjsf,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221001,应交增值税,yjzzs,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221001001,进项税额,jxse,流动负债,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
2221001002,销项税额的抵减,xxseddj,流动负债,借,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
2221001003,已交税金,yjsj,流动负债,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
222100100301,123123,123123,流动负债,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,剔除：沙箱测试行（名称非会计科目）
22210010030101,213123,213123,流动负债,借,否,否,否,否,,否,,否,是,客户,必录,支付的税费,支付的税费,启用,否,剔除：沙箱测试行（名称非会计科目）
2221001004,转出未交增值税,zcwjzzs,流动负债,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221001005,减免税款,jmsk,流动负债,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221001006,出口抵减内销产品应纳税额,ckdjnxcpynse,流动负债,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221001007,销项税额,xxse,流动负债,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
2221001008,出口退税,ckts,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221001009,进项税额转出,jxsezc,流动负债,贷,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
2221001010,转出多交增值税,zcdjzzs,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221001011,应交增值税,yjzzs,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221002,未交增值税,wjzzs,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221003,预交增值税,yjzzs,流动负债,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221004,待抵扣进项税额,ddkjxse,流动负债,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221005,待认证进项税额,drzjxse,流动负债,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221006,待转销项税额,dzxxse,流动负债,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
2221007,增值税留抵税额,zzsldse,流动负债,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221008,简易计税,jyjs,流动负债,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
2221009,转让金融商品应交增值税,zrjrspyjzzs,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221010,代扣代交增值税,dkdjzzs,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221011,应交所得税,yjsds,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221012,应交个人所得税,yjgrsds,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221013,教育费附加,jyffj,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
