科目编码,科目名称,English,会计要素,余额方向,上级编码,层级,现金科目,银行科目,现金等价物,期末调汇,外币核算类型,数量核算,系统预置,预置核算维度
4104,利润分配,Profit Distribution,所有者权益,贷,,1,否,否,否,否,不核算外币,否,是,
4201,库存股,Inventory Stock,所有者权益,贷,,1,否,否,否,否,不核算外币,否,是,
4301,专项储备,Special Reserve,所有者权益,贷,,1,否,否,否,否,不核算外币,否,是,
4401,其他权益工具,Other Equity Instruments,所有者权益,贷,,1,否,否,否,否,不核算外币,否,是,
5001,生产成本,Production Costs,成本,借,,1,否,否,否,否,不核算外币,否,是,
5001.01,人工,Production Costs,成本,借,5001,2,否,否,否,否,不核算外币,否,是,部门(必录)
5101,制造费用,Manufacturing Overhead,成本,借,,1,否,否,否,否,不核算外币,否,是,部门(选填);费用项目(选填)
5201,劳务成本,Labor Cost,成本,借,,1,否,否,否,否,不核算外币,否,是,部门(选填);项目(选填)
5301,研发支出,R&D Expenditure,成本,借,,1,否,否,否,否,不核算外币,否,是,
5301.01.01,工资,,成本,借,5301.01,3,否,否,否,否,不核算外币,否,否,项目(选填)
5301.01,费用化支出,Expense in Fees,成本,借,5301,2,否,否,否,否,不核算外币,否,是,项目(选填)
5301.01.02,试制材料,,成本,借,5301.01,3,否,否,否,否,不核算外币,否,否,项目(选填)
5301.01.03,折旧,,成本,借,5301.01,3,否,否,否,否,不核算外币,否,否,项目(选填)
5301.01.04,设计费,,成本,借,5301.01,3,否,否,否,否,不核算外币,否,否,项目(选填)
5301.01.05,差旅,,成本,借,5301.01,3,否,否,否,否,不核算外币,否,否,项目(选填)
5301.01.99,其他,,成本,借,5301.01,3,否,否,否,否,不核算外币,否,否,项目(选填)
5301.02,资本化支出,Capital Expenditure,成本,借,5301,2,否,否,否,否,不核算外币,否,是,
6001,主营业务收入,Main Operating Income,营业收入,贷,,1,否,否,否,否,不核算外币,否,是,部门(选填)
6051,其他业务收入,Other Operating Income,营业收入,贷,,1,否,否,否,否,不核算外币,否,是,
6101,公允价值变动损益,Profit/Loss on Changes in Fair Value,其他收益,贷,,1,否,否,否,否,不核算外币,否,是,
6111,投资收益,Investment Income,其他收益,贷,,1,否,否,否,否,不核算外币,否,是,
6111.01,国债、地方债利息收入,Interest Income from Government Bonds and Local Government Bonds,其他收益,贷,6111,2,否,否,否,否,不核算外币,否,是,
6111.02,铁路建设债券利息收入,Interest Income from Railway Bonds,其他收益,贷,6111,2,否,否,否,否,不核算外币,否,是,
6111.03.01,企业股权投资收益,Enterprise Equity Investment Income,其他收益,贷,6111.03,3,否,否,否,否,不核算外币,否,是,
6111.03,股息红利收入,Dividend Income,其他收益,贷,6111,2,否,否,否,否,不核算外币,否,是,
6111.03.02,股票投资收益,Stock Investment Income,其他收益,贷,6111.03,3,否,否,否,否,不核算外币,否,是,
6111.03.03,其他股息红利性质收益,Other Dividend Income,其他收益,贷,6111.03,3,否,否,否,否,不核算外币,否,是,
6111.04,其他,Others,其他收益,贷,6111,2,否,否,否,否,不核算外币,否,是,
6115,资产处置损益,Profit/Loss on Disposal of Assets,其他收益,贷,,1,否,否,否,否,不核算外币,否,是,
6117,其他收益,Other Income,其他收益,贷,,1,否,否,否,否,不核算外币,否,是,
6117.01,个税手续费返还,Refund of Individual Income Tax Transaction Fee,其他收益,贷,6117,2,否,否,否,否,不核算外币,否,是,
6118,净敞口套期损益,Net Exposure Hedging Profit/Loss,其他收益,贷,,1,否,否,否,否,不核算外币,否,是,
6301,营业外收入,Revenue Not from Operating,其他收益,贷,,1,否,否,否,否,不核算外币,否,是,
6401,主营业务成本,Main Operating Cost,营业成本及税金,借,,1,否,否,否,否,不核算外币,否,是,部门(选填)
6402,其他业务成本,Other Operating Costs,营业成本及税金,借,,1,否,否,否,否,不核算外币,否,是,
6403,税金及附加,Taxes and Surcharges,营业成本及税金,借,,1,否,否,否,否,不核算外币,否,是,
6601,销售费用,Selling Expenses,期间费用,借,,1,否,否,否,否,不核算外币,否,是,
6601.01.01,工资,,期间费用,借,6601.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6601.01,工资福利,Entertainment Expense,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.01.02,奖金,,期间费用,借,6601.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6601.01.03,社会保险费,,期间费用,借,6601.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6601.01.04,商业保险费,,期间费用,借,6601.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6601.01.05,住房公积金,,期间费用,借,6601.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6601.01.06,职工福利费,,期间费用,借,6601.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6601.01.07,职工教育经费,,期间费用,借,6601.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
